Date,IWDA
1978-12,100
1979-01,103.97264238583843
1979-02,102.45473527212826
1979-03,106.70002780350265
1979-04,107.7145121679093
1979-05,107.00078890855599
1979-06,108.79111616042674
1979-07,105.66349983772221
1979-08,110.21993395011322
1979-09,111.4584393342313
1979-10,103.58937868069663
1979-11,106.32312756970633
1979-12,106.69643415469875
1980-01,111.98554041586098
1980-02,113.057852995808
1980-03,106.22463032847621
1980-04,114.51216156474145
1980-05,114.92259555321891
1980-06,118.64150320975675
1980-07,120.7450411952528
1980-08,125.52151737813334
1980-09,128.9581569117312
1980-10,136.0268938971133
1980-11,146.6538390294046
1980-12,147.94410752509478
1981-01,144.038661220666
1981-02,154.26470468612126
1981-03,159.8210210748322
1981-04,164.11088696294695
1981-05,170.6988464219032
1981-06,176.8906402274938
1981-07,179.16076166342523
1981-08,180.35666742988843
1981-09,159.18582366349736
1981-10,159.16635160521517
1981-11,169.1226621913063
1981-12,167.7684530791237
1982-01,167.78717790782545
1982-02,162.83659128333068
1982-03,161.24006578273466
1982-04,171.72322457752045
1982-05,161.63558499354744
1982-06,163.2485839611829
1982-07,164.5606640933328
1982-08,177.53215647761354
1982-09,179.97730692677945
1982-10,194.56999089154942
1982-11,208.25119668004612
1982-12,208.58637592592174
1983-01,211.47851912878275
1983-02,219.82319292339463
1983-03,228.6441458966055
1983-04,248.43414868747607
1983-05,247.4688240637034
1983-06,262.9940568839479
1983-07,261.73836520054357
1983-08,271.6075298655131
1983-09,277.2117900850857
1983-10,269.369438353937
1983-11,283.6420159916881
1983-12,294.4753316276527
1984-01,303.50135592382736
1984-02,289.25921873209205
1984-03,292.00397984552944
1984-04,296.0083168406804
1984-05,283.90277176862645
1984-06,286.22560244793607
1984-07,286.5027305569554
1984-08,318.7240279537828
1984-09,332.4326127189348
1984-10,342.0003547509701
1984-11,331.7130474328536
1984-12,351.91723161941763
1985-01,380.2900109781415
1985-02,395.11580213928465
1985-03,409.632619769871
1985-04,380.1266169943744
1985-05,402.3305829559055
1985-06,402.2468496067133
1985-07,390.3996439121697
1985-08,379.97046217346275
1985-09,388.89020602681376
1985-10,384.5187166157259
1985-11,398.0416230459656
1985-12,406.72804879492367
1986-01,404.1056510016992
1986-02,423.068831075455
1986-03,451.48827077172825
1986-04,466.2082567723979
1986-05,456.63112569202946
1986-06,476.7338465970919
1986-07,466.34553070221654
1986-08,491.75098667427494
1986-09,468.3801553397072
1986-10,455.091799340588
1986-11,479.0764486901642
1986-12,481.5448598822746
1987-01,505.6959470217816
1987-02,513.016072235812
1987-03,543.7571041387091
1987-04,568.000053468308
1987-05,561.7599801516009
1987-06,571.3525374736037
1987-07,591.0427686006583
1987-08,630.6837094232387
1987-09,603.3865351169261
1987-10,497.1356310344492
1987-11,455.5740524466535
1987-12,460.7137247825063
1988-01,476.75630536325235
1988-02,518.8385160704831
1988-03,527.0855674463594
1988-04,530.3655462823834
1988-05,524.6977560781519
1988-06,543.2464484243666
1988-07,581.148181305614
1988-08,561.3176680911142
1988-09,580.6645464980818
1988-10,603.7766760904162
1988-11,599.8281382043642
1988-12,605.6590302063611
1989-01,652.2104460902444
1989-02,655.8975849676367
1989-03,655.7843333152707
1989-04,674.3763810220092
1989-05,685.821049579817
1989-06,690.0251472239289
1989-07,734.2310872803081
1989-08,727.2583980577606
1989-09,758.9652322869256
1989-10,705.7406749015236
1989-11,723.1197671154923
1989-12,715.3664969390959
1990-01,661.6988103020183
1990-02,624.6689224830642
1990-03,596.9531281559181
1990-04,580.5460722826192
1990-05,630.9397275889994
1990-06,630.3984124640933
1990-07,616.6589468762725
1990-08,534.0698637516335
1990-09,478.2809208196144
1990-10,507.3495993664293
1990-11,488.8906873072537
1990-12,504.7716294419006
1991-01,524.2704836624075
1991-02,563.014869851377
1991-03,594.4718402845328
1991-04,630.7647490894379
1991-05,653.3865923479254
1991-06,635.604062749824
1991-07,666.17840941915
1991-08,649.1390748901576
1991-09,647.4790290304887
1991-10,656.8052873590957
1991-11,604.387692864834
1991-12,627.5065111187668
1992-01,619.9381441082433
1992-02,622.4001046106035
1992-03,608.6358849984041
1992-04,611.2564829598069
1992-05,623.1292748725298
1992-06,584.7284361699263
1992-07,558.055065158559
1992-08,556.9397372989446
1992-09,564.306658007501
1992-10,571.5766955977886
1992-11,619.6310384107496
1992-12,623.9368117294086
1993-01,637.9552604446452
1993-02,669.0372178858665
1993-03,711.0013316967172
1993-04,718.3327347529115
1993-05,736.3890594801534
1993-06,751.2033761826434
1993-07,798.8678041865958
1993-08,841.538838195901
1993-09,792.8176237602311
1993-10,823.9033919193157
1993-11,797.8366761587482
1993-12,836.1779034824713
1994-01,903.0774294206917
1994-02,887.6127373207021
1994-03,831.443515686387
1994-04,859.2970064918358
1994-05,842.6581653777524
1994-06,826.3429005235946
1994-07,815.779752335909
1994-08,840.9905121317682
1994-09,809.7943829512039
1994-10,816.5952492410634
1994-11,792.4752009546548
1994-12,816.192115392499
1995-01,787.1820672763362
1995-02,789.5957007776188
1995-03,795.1774682984757
1995-04,806.8330015031279
1995-05,825.9876787675503
1995-06,818.5224689640042
1995-07,849.1707146918621
1995-08,855.0604548165205
1995-09,890.924906958511
1995-10,862.9192365134679
1995-11,894.4783827310216
1995-12,934.869221174821
1996-01,962.985145210221
1996-02,974.0575068426572
1996-03,989.2704761578922
1996-04,1020.7961271683507
1996-05,1033.6949893319259
1996-06,1030.4872033856736
1996-07,978.5886547413209
1996-08,980.4984163605046
1996-09,1027.3508918852574
1996-10,1037.3655921110328
1996-11,1081.0628986343904
